136.158.46.10 - - "2023-05-29 14:12:54" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=52 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
175.176.53.221 - - "2023-05-29 14:13:12" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.63"
175.176.53.221 - - "2023-05-29 14:13:28" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36"
175.176.53.221 - - "2023-05-29 14:13:37" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36"
175.176.53.221 - - "2023-05-29 14:14:01" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36"
175.176.53.221 - - "2023-05-29 14:23:39" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36"
136.158.46.10 - - "2023-05-29 14:24:54" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
136.158.46.10 - - "2023-05-29 14:24:54" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=52&path[]=37&path[]=129 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
2a03:2880:13ff:78::face:b00c - - "2023-05-29 14:29:22" https://cpsujournals.com/?journal=psdrmj&page=article&op=download&path[]=39&path[]=32&path[]=105 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
52.167.144.173 bot - "2023-05-29 15:14:58" https://cpsujournals.com/?journal=piej&page=index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
2a03:2880:13ff:14::face:b00c - - "2023-05-29 15:57:03" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=51 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
66.249.71.146 bot - "2023-05-29 16:13:28" https://cpsujournals.com/?journal=psdrmj&page=article&op=view&path[]=78 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
213.180.203.120 bot - "2023-05-29 19:03:24" https://cpsujournals.com/?journal=piej&page=article&op=view&path[]=27 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
120.29.77.80 - - "2023-05-29 23:21:55" https://cpsujournals.com/?journal=piej&page=article&op=view&path[]=14 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1"
66.249.71.4 bot - "2023-05-29 23:23:07" https://cpsujournals.com/?journal=piej&page=article&op=view&path[]=26 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
